club,membership_2024,ground,lat,lon,state
Collingwood,110628,Melbourne Cricket Ground,-37.819954,144.983398,VIC
Carlton,106345,Marvel Stadium,-37.81639,144.9475,VIC
West Coast,103498,Optus Stadium,-31.95111,115.88917,WA
Richmond,98489,Melbourne Cricket Ground,-37.819954,144.983398,VIC
Geelong,90798,GMHBA Stadium (Kardinia Park),-38.15806,144.35472,VIC
Hawthorn,83823,Melbourne Cricket Ground,-37.819954,144.983398,VIC
Essendon,83664,Marvel Stadium,-37.81639,144.9475,VIC
Adelaide,75477,Adelaide Oval,-34.91558,138.59619,SA
Sydney,73757,Sydney Cricket Ground,-33.891525,151.224121,NSW
Port Adelaide,66015,Adelaide Oval,-34.91558,138.59619,SA
Melbourne,65479,Melbourne Cricket Ground,-37.819954,144.983398,VIC
Brisbane,63268,The Gabba,-27.486099,153.03743,QLD
Western Bulldogs,62328,Marvel Stadium,-37.81639,144.9475,VIC
Fremantle,62237,Optus Stadium,-31.95111,115.88917,WA
St Kilda,60467,Marvel Stadium,-37.81639,144.9475,VIC
North Melbourne,50628,Marvel Stadium,-37.81639,144.9475,VIC
GWS,36629,Sydney Showground Stadium (Engie/Giants Stadium),-33.84306,151.06778,NSW
Gold Coast,26157,Heritage Bank Stadium (Carrara),-28.0038,153.366997,QLD
